Stkcd,Accper,rd_sale
000002,2018-01-01,0.0025250481483597106
000002,2018-09-30,0.002131284570881598
000002,2018-12-31,0.003178132515125978
000002,2019-01-01,0.003178132515125978
000002,2019-03-31,0.0024598058580174997
000002,2019-06-30,0.003084822637655224
000002,2019-09-30,0.002399210919364713
000002,2019-12-31,0.0028994122871944146
000002,2020-01-01,0.0028994122871944146
000002,2020-03-31,0.00191532453354453
000002,2020-06-30,0.0018923787987307063
000004,2018-01-01,0.037206450293373126
000004,2018-09-30,0.024066681823489127
000004,2018-12-31,0.04760769214019793
000004,2019-01-01,0.04760769214019793
000004,2019-03-31,0.009514477371700478
000004,2019-06-30,0.03016944984381614
000004,2019-09-30,0.030658749404829204
000004,2019-12-31,0.0094007478767852
000004,2020-01-01,0.0094007478767852
000004,2020-03-31,0.25266193866351
000004,2020-06-30,0.22436978946067582
000005,2018-01-01,0.02836258883898651
000005,2018-12-31,0.03317288895378996
000005,2019-01-01,0.03317288895378996
000005,2019-03-31,0.06525353873602739
000005,2019-06-30,0.024524882646361282
000005,2019-09-30,0.03066085036017745
000005,2019-12-31,0.04037431390842181
000005,2020-01-01,0.04037431390842181
000005,2020-03-31,0.16054230511175277
000005,2020-03-31,1.1225085532226344
000005,2020-06-30,0.09115577580757506
000005,2020-06-30,1.2184162869717872
000007,2018-01-01,0.08286527040056549
000008,2018-01-01,0.004465030731236563
000008,2018-01-01,0.0702934165825142
000008,2018-09-30,0.10173107548998894
000008,2018-09-30,0.23297332238065546
000008,2018-12-31,0.0722872985194111
000008,2018-12-31,0.08355697536917343
000008,2019-01-01,0.0722872985194111
000008,2019-01-01,0.08355697536917343
000008,2019-03-31,0.045025088516723606
000008,2019-03-31,0.1489363677772347
000008,2019-06-30,0.06163687025311491
000008,2019-06-30,0.10648304876848423
000008,2019-09-30,0.0970199282851036
000008,2019-09-30,0.029854186932082822
000008,2019-12-31,0.024981464763838883
000008,2019-12-31,0.07709684170941028
000008,2020-01-01,0.024981464763838883
000008,2020-01-01,0.07709684170941028
000008,2020-03-31,0.28033879920489096
000008,2020-06-30,0.26561513072057075
000008,2020-06-30,0.20259798062946718
000009,2018-01-01,0.038381595202808955
000009,2018-09-30,0.033887672764582114
000009,2018-12-31,0.0315143064305614
000009,2019-01-01,0.0315143064305614
000009,2019-03-31,0.039390753400643214
000009,2019-06-30,0.029698745444490155
000009,2019-09-30,0.030851450409995602
000009,2019-12-31,0.03338687216748534
000009,2020-01-01,0.03338687216748534
000009,2020-03-31,0.04605536792022209
000009,2020-06-30,0.04254531840048334
000010,2018-12-31,0.00595151815200954
000010,2019-01-01,0.00595151815200954
000010,2019-03-31,0.000749824707756347
000010,2019-06-30,0.001557272691500295
000010,2019-09-30,0.0012718236078974048
000010,2019-12-31,0.0008928257116887525
000010,2020-01-01,0.0008928257116887525
000012,2018-01-01,0.030394815185163508
000012,2018-01-01,0.00011550998724329443
000012,2018-09-30,0.06417633463422269
000012,2018-09-30,0.03335751708003134
000012,2018-12-31,0.03193148653287044
000012,2018-12-31,0.00012904718306943063
000012,2019-01-01,0.00012904718306943063
000012,2019-01-01,0.03193148653287044
000012,2019-03-31,0.0358443230508993
000012,2019-03-31,0.000439266059170277
000012,2019-06-30,0.03565214112839914
000012,2019-06-30,0.009325705312188414
000012,2019-09-30,0.03442205557891329
000012,2019-09-30,0.013270420652686453
000012,2019-12-31,0.009669206441518322
000012,2019-12-31,0.03503345097355434
000012,2020-01-01,0.009669206441518322
000012,2020-01-01,0.03503345097355434
000012,2020-03-31,0.042098634161110544
000012,2020-03-31,0.0002400505868787112
000012,2020-06-30,0.0002467669922550379
000012,2020-06-30,0.03278851475927815
000016,2018-01-01,0.010557175672934615
000016,2018-01-01,0.02724045283096935
000016,2018-09-30,0.01167380268487256
000016,2018-09-30,0.00761875468390635
000016,2018-12-31,0.00859500698273644
000016,2018-12-31,0.011071870758866216
000016,2019-01-01,0.00859500698273644
000016,2019-01-01,0.011071870758866216
000016,2019-03-31,0.0036132831393408853
000016,2019-03-31,0.00561527095608599
000016,2019-06-30,0.004076781289390368
000016,2019-06-30,0.006038088231332156
000016,2019-09-30,0.0038080228698733056
000016,2019-09-30,0.007655774782197037
000016,2019-12-31,0.009082148852729316
000016,2019-12-31,0.008288105259422763
000016,2020-01-01,0.008288105259422763
000016,2020-01-01,0.009082148852729316
000016,2020-03-31,0.011469863760807896
000016,2020-03-31,0.004798617441131095
000016,2020-06-30,0.007565295743527822
000016,2020-06-30,0.014725341152006775
000017,2019-12-31,0.047662823550581254
000017,2019-12-31,0.036216526953823734
000017,2020-01-01,0.047662823550581254
000017,2020-01-01,0.036216526953823734
000017,2020-03-31,0.0498848070091127
000017,2020-03-31,0.12585063371350363
000017,2020-06-30,0.017670103230556813
000017,2020-06-30,0.04725412180294064
000019,2018-01-01,0.0009105046453741065
000019,2018-09-30,0.0012108948929402082
000019,2018-12-31,0.001020511781414314
000019,2019-01-01,0.001020511781414314
000019,2019-03-31,0.000821563824616881
000019,2019-06-30,0.000880662315796903
000019,2019-09-30,0.000885960513281915
000019,2019-12-31,0.0012296153789144362
000019,2020-01-01,0.0012296153789144362
000019,2020-03-31,0.0022783204631851447
000019,2020-06-30,0.001554452959681277
000020,2018-09-30,0.0158993602990729
000020,2019-06-30,0.010987915173069265
000020,2019-09-30,0.010085976541633502
000020,2019-12-31,0.009215015529879841
000020,2020-01-01,0.009215015529879841
000020,2020-03-31,0.01034487155928622
000020,2020-06-30,0.008059187517316302
000021,2018-01-01,0.014788811399179322
000021,2018-01-01,0.005647292096427657
000021,2018-09-30,0.005422460344697318
000021,2018-09-30,0.022886988266360778
